名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
尤伽·瑜伽,体育休闲服务,运动场馆,健身中心,蛇口中心路89号致远大厦A座6楼(宝能太古城南区对面),广东省,深圳市,南山区,113.9357522,22.50275562
艾尔家,体育休闲服务,运动场馆,健身中心,中心路曦湾华府B20-24,广东省,深圳市,南山区,113.9363973,22.50446949
格至击剑(南山店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,后海大道2110号蔚蓝海岸商场二楼201号,广东省,深圳市,南山区,113.9281628,22.51058424
深圳市力美健宝能健身有限公司,体育休闲服务,运动场馆,健身中心,中心路2233号宝能购物中心B2层,广东省,深圳市,南山区,113.934067,22.50221944
海昳山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,华明路1号,广东省,深圳市,南山区,113.9269807,22.51070185
艾尔家1:1私人教练,体育休闲服务,运动场馆,健身中心,中心路2258号附近,广东省,深圳市,南山区,113.9364113,22.50454547
君尚健身会所,体育休闲服务,运动场馆,健身中心,君尚6层,广东省,深圳市,南山区,113.9358746,22.5098613
古德菲力健身(君尚店),体育休闲服务,运动场馆,健身中心,中心路(深圳湾段)3019号天虹总部大厦6层6015,广东省,深圳市,南山区,113.9360564,22.509647
TIMBER Bar,体育休闲服务,体育休闲服务场所,体育休闲服务场所,中心路2184号附近,广东省,深圳市,南山区,113.9357932,22.50115457
领航少儿跆拳道,体育休闲服务,运动场馆,跆拳道场馆,后海大道与工业八路交叉口东南100米,广东省,深圳市,南山区,113.9284951,22.5026009
深圳湾游艇会俱乐部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,东滨路1号附近,广东省,深圳市,南山区,113.944238,22.5062657
NOWHERE,体育休闲服务,体育休闲服务场所,体育休闲服务场所,三湘海尚花园1期A059,广东省,深圳市,南山区,113.9368148,22.50552775
音乐无限,体育休闲服务,体育休闲服务场所,体育休闲服务场所,东滨路与内环路交叉口西南100米,广东省,深圳市,南山区,113.9374799,22.50764155
深湾会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,蛇口街道科苑南路3223号,广东省,深圳市,南山区,113.9376305,22.51068422
文体中心,体育休闲服务,体育休闲服务场所,体育休闲服务场所,支六路与支四路交叉口西南150米,广东省,深圳市,南山区,113.9367831,22.50098086
贸趣网络,体育休闲服务,体育休闲服务场所,体育休闲服务场所,福田保税区广兰道6号深装总大厦三楼,广东省,深圳市,福田区,114.0400626,22.50844232
和太极,体育休闲服务,体育休闲服务场所,体育休闲服务场所,福田保税区槟榔道创意保税园b区2楼,广东省,深圳市,福田区,114.0503745,22.50596323
101主题健身俱乐部,体育休闲服务,运动场馆,健身中心,桃花路5号万乘物流1层,广东省,深圳市,福田区,114.0538374,22.50648202
时空密码,体育休闲服务,体育休闲服务场所,体育休闲服务场所,保税区红棉道8号英达利科技数码园B座102C,广东省,深圳市,福田区,114.0527984,22.5082088
